ticker,event_date,v,vol_z,tone,tone_z,direction,novelty_days,intensity_percentile
HAVELLS,2025-10-14,9.0,3.147137461033477,1.8061,0.5032359931295451,1.0,57.0,9.50413223140496
HAVELLS,2025-12-03,8.0,3.975535968454932,0.9756,-0.1903298856206305,-1.0,50.0,33.47107438016529
HAVELLS,2026-01-17,7.0,4.121624841146283,1.9434,0.3836364887666755,1.0,45.0,38.01652892561984
HAVELLS,2026-01-19,7.0,3.783078617391869,-0.0982,-0.5006474234965471,-1.0,2.0,27.685950413223143
HAVELLS,2026-04-22,15.0,11.033774257101046,0.7681,0.0084495238845616,1.0,93.0,92.97520661157026
HAVELLS,2026-05-01,10.0,4.095899072209,2.7775,1.0185777601260564,1.0,9.0,35.950413223140494
HAVELLS,2026-07-17,11.0,4.049118326064972,0.100495061728395,-0.3749449500023745,-1.0,77.0,34.710743801652896
HEROMOTOCO,2023-04-12,6.0,5.12323543744979,1.6784,0.7390723028550827,1.0,,57.43801652892562
HEROMOTOCO,2023-09-08,5.0,5.859058920046073,1.5529,0.6829152994572512,1.0,149.0,69.00826446280992
HEROMOTOCO,2023-10-03,5.0,3.9209170155714337,1.294,0.4727321652491415,1.0,25.0,32.231404958677686
HEROMOTOCO,2023-10-09,5.0,3.618120653050793,1.0472,0.294505379343824,1.0,6.0,23.140495867768596
HEROMOTOCO,2023-10-19,5.0,3.252575177151003,0.8235,0.1812860418690204,1.0,10.0,16.528925619834713
HEROMOTOCO,2023-11-02,11.0,7.366756053240438,1.1499,0.3763073872281351,1.0,14.0,81.40495867768595
HEROMOTOCO,2023-11-09,8.0,3.9894935009548,1.3562,0.6434154639462363,1.0,7.0,34.29752066115702
HEROMOTOCO,2024-03-27,8.0,3.258985829166091,1.3116,0.6322385427231997,1.0,139.0,17.355371900826448
HEROMOTOCO,2024-05-14,8.0,3.9309212969379623,1.3256,0.6388807078337201,1.0,48.0,32.64462809917355
HEROMOTOCO,2024-05-22,7.0,3.20937014004594,0.9789,0.2840027891362645,1.0,8.0,13.636363636363637
HEROMOTOCO,2024-07-10,7.0,3.2051489920026577,0.7768,0.055675232290131,1.0,49.0,13.223140495867769
HEROMOTOCO,2024-09-03,8.0,3.5377247785526267,1.0324,0.4782642229124044,1.0,55.0,21.90082644628099
HEROMOTOCO,2024-11-13,9.0,4.121224057787658,1.2372,1.0958095974583,1.0,71.0,38.01652892561984
HEROMOTOCO,2025-02-17,6.0,3.035273124877948,1.0903,0.3994168759736387,1.0,96.0,4.132231404958678
HEROMOTOCO,2025-05-20,6.0,3.034265038806217,1.1508,0.4571879958755038,1.0,92.0,3.71900826446281
HEROMOTOCO,2025-11-26,7.0,11.46617679248303,-0.6818,-0.6222993142904676,-1.0,190.0,94.21487603305785
